Kodu ;Dersin Adý ;Name;T ;U;L;K;AKTS;Dönem;Grubu;Ön Koþul
BÝLSEÇ-9;Teknik Seçmeli Ders 9;TECHNICAL ELECTIVE COURSE 9;2;2;0;3;6;8;G;
LABSEÇ-II;Seçmeli Laboratuvar II;Technical Elective Lab-II;0;0;2;1;3;8;G;
SSD2;Sosyal Seçmeli Ders II;Social Elective Course II;2;0;0;2;2;8;G;
BÝL416;Bilgisayarlý Görü Laboratuvarý (SL 2);Computer Vision Lab. (EL2);0;0;2;1;3;8;LABSEÇ-II;
BÝL418;Yazýlým Test Süreçleri Laboratuvarý (SL 2);Software Test Processes Lab. (EL2);0;0;2;1;3;8;LABSEÇ-II;
BÝL434;Coðrafi Bilgi Sistemleri Laboratuvarý (SL 2);Geographic Information Systems Lab. (EL2);0;0;2;1;3;8;LABSEÇ-II;
BÝL478;Programlamada Özel Konular Lab. (SL2);Special Topics in Programming Lab.(EL2);0;0;0;1;3;8;LABSEÇ-II;
BÝL482;Mikrodenetleyici Lab. (SL2);Microcontrollers Lab.(EL2);0;0;2;1;3;8;LABSEÇ-II;
BÝL488;Veri Tabaný Laboratuvarý (SL2);Database Management Systems Lab. (EL2);0;0;2;1;3;8;LABSEÇ-II;
BÝL490;Yazýlým Mühendisliði Laboratuvarý (SL 2);Software Engineering Lab. (EL2);0;0;2;1;3;8;LABSEÇ-II;
BÝL494;Web Teknolojileri Laboratuvarý (SL2);Web Technologies Lab.(EL2);0;0;2;1;3;8;LABSEÇ-II;
BÝL496;Bilgisayar Aðlarý Laboratuvarý (SL2);Computer Networks Lab. (EL2);0;0;2;1;3;8;LABSEÇ-II;
BÝL400;Bitirme Projesi ****;Graduation Project ****;1;2;0;2;13;8;Z;BÝL409
BÝL502;Mesleki Uygulama Programý;Professional Practice Program;6;4;2;9;30;8;Z;
SAN.SEÇ.BÝL;Sanayi Uygulamasý (Seçmeli);Industrial Application (IE);0;14;0;7;15;8;Z;
